Latitude,Longitude,Title,Description,Intensity
-1.87,29.92,Rwanda: Floods - Apr 2024,"<p>In Rwanda, heavy rains and floods killed 14 people in Nyanza District, injured 27 in Burera District and damaged roads, bridges and 123 houses since 28 April and as of 2 May. Several hectares of rice and banana plantation in Ruhango District have been damaged, according to local authorities. Heavy rainfall, ranging between 40-50 mm, with thunderstorms is predicted to affect 17 districts across Northern, Western and Southern provinces between 30 April and 4 May, according to the Rwanda Meteorology Agency. Burera, Nyanza, Gakenke, and Ngororero districts received the highest amount of rainfall ranging from 84 to 105.2 mm between 30 April and 2 May. Impact such as severe widespread flooding to rivers, swamps and low-lying areas, landslides and damage to infrastructure are likely. (<a href=""https://reliefweb.int/node/4059782"">OCHA,  3 May 2024</a>)</p>
",medium
23.84,90.27,Bangladesh: Heat Wave - Apr 2024,"<p>Based on the Bangladesh Meteorological Department (BMD) data source dated 21 April 2024, severe to very severe, heatwave was sweeping some districts of the country where mild-moderate heatwave was sweeping over most of the districts of the country. BDRCS forecast monitoring report indicates maximum temperatures exceeding to 38 degree Celsius, with the heat index surpassing 38 for two or more consecutive days. On 24 April 2024, severe heatwave (&gt;=40 degree Celsius) was observed in the district of Rajshahi, Pabna, Khulna, Bagerhat, Jeshore and Patuakhali. On 26 April 2024, Bangladesh set all-time heatwave record as the Meteorological Office recorded 24 days of heatwave during the month of April breaching previous 23 days of heatwave in 2019. According to BMD dated on 27 April 2024, severe to very severe heatwave (&gt;=40 degree Celsius) has been observed in the district of Rajshahi, Pabna, Chuadanga, Natore, Chapai Nawabganj, Kushtia, Jhenaidah, Jashore, Meherpur and Bogura. Moderate heat wave (&gt;38- 39.9 degree Celsius) is sweeping over the district of Bagerhat, Satkhira, Barguna, Barishal, Patuakhali, Jhalokathi, Bhola, Pirojpur, Sherpur, Mymensingh, Sirajganj, Tangail, Jamalpur, Thakurgaon, Joypurhat, Panchagarh, Lalmonirhat, Faridpur, Madaripur, Magura, Manikganj, Rajbari, Gazipur, Gopalganj, Nilphamari, Rangpur, Naogaon, Gaibandha and it may spread. According to the observed heatwave, most impacted divisions are Rajshahi, Khulna, Rangpur, Dhaka and Barisal ... According to Directorate General of Health Services (DGHS) as of 30 April, a total of 10 people died of suspected heat stroke in different parts of Bangladesh. As the heatwave has been sweeping over the country, the government of Bangladesh declared closing of schools and colleges for one week up to 27 April and forced 33 million children out of schools in Bangladesh. According to daily Newspaper Prothom Alo, around 70 percentage of total Bangladesh population are impacted due to heatwave particularly people living in Khulna, Rajshahi, Rangpur, Dhaka and Barisal division for several days, causing significant hardship, particularly the people who are working outside in sun. (<a href=""https://reliefweb.int/node/4059839"">IFRC, 4 May 2024</a>)</p>
<p>Over the past two weeks, a heatwave has affected several parts of Bangladesh, impacting millions of people. Media report at least 15 fatalities due to heat-aggravated conditions, with most of the deaths recorded in the Magura district (south-western Bangladesh). Following this meteorological event, the authorities closed schools, colleges, madrasas and technical education institutions across the country. According to the Bangladesh Meteorological Department (BMD), mild heat waves will continue on 7 May over the districts of Gopalgonj, Jashore and Chuadanga (southern Bangladesh) and it could abate in the next few days. (<a href=""https://reliefweb.int/node/4060464"">ECHO, 7 May 2024</a>)</p>
",medium
-6.27,34.82,Tanzania: Floods - Apr 2024,"<p>Heavy rainfall continues to affect most of Tanzania (in particular Dodoma and Dar es Salaam city areas) since early April, causing floods, flash floods and triggering landslides that have resulted in casualties and widespread damage. Media report, as of 26 April, 155 fatalities, 236 injured people, more than 200,000 affected people and approximately 10,000 damaged and destroyed buildings (included many schools) across the country. In addition, several roads and bridges have been damaged. Over the next 24 hours, more heavy rainfall with locally very heavy rainfall is still forecasted over most of the country. (<a href=""https://reliefweb.int/node/4058040"">ECHO, 26 Apr 2024</a>)</p>
<p>Heavy rains on 7 April caused severe flooding in Rufiji and Kibiti districts in the Pwani Region, in the east, affecting villages near the Rufiji River and its tributaries. Preliminary assessment information indicates that in Rufiji, 25 villages were affected, while in Kibiti, 10 villages were affected, resulting in loss of lives, injuries, and damage to infrastructure, settlements, schools, farmlands, and crops. Nearly 125,670 people were affected, as of 29 April, according to initial reports. Preliminary findings indicate that 10 schools have been closed (7 schools in Rufiji and 3 in Kibiti) affecting over 1,900 school children. (<a href=""https://reliefweb.int/node/4059782"">OCHA, 3 May 2024</a>)</p>
<h3>Appeals &amp; Response Plans</h3>
<ul>
<li>
<a href=""https://reliefweb.int/node/4060663""><img src=""https://reliefweb.int/sites/default/files/styles/small/public/previews/70/0d/700d0d9a-6934-4b3c-8efa-1cbf4b2cb1cf.png"" alt=""IFRC: Tanzania, Africa | Floods and landslides 2023-24 - Revised Emergency Appeal (MDRTZ035) - Cover preview"" /> IFRC: Tanzania, Africa | Floods and landslides 2023-24 - Revised Emergency Appeal (MDRTZ035)</a>
</li>
</ul>
",low
41.47,74.56,Kyrgyzstan: Floods and Landslides - Apr 2024,"<p>Since 20 April, heavy rainfall has been affecting the regions of Osh, Jalal-Abad and Talas (southern and eastern Kyrgyzstan) triggering several landslides, causing floods and resulting in casualties and damage. According to media, one person died on 20 April due to a landslide, while hundreds have been evacuated following floods in the Osh Region. Other mudslides occurred in the Jalal-Abad Region and resulted in 300 evacuated families. In addition, several roads have been closed due to both events.  <a href=""https://reliefweb.int/node/4057337"">(ECHO, 24 Apr 2024)</a></p>
<p>Due to heavy rains, five provinces, namely Osh, Jalal-Abad, Naryn, Batken, and Talas, were affected by severe floods, affecting 103,901 people and resulting in one casualty. Of the five provinces, the Ministry of Emergency Situations declared a state of emergency in three: Osh, Jalal-Abad, and Talas. The disaster destroyed and blocked main roads leading to and from the villages, damaged residential and non-residential buildings, and caused electricity cuts as a result of destroyed polling stations and power lines. The floods have also resulted in drinking water cuts in cities, affecting the water distribution fence. As some cemeteries and animal burials are under the risk of floods, the likelihood of disease outbreaks increased. It is important to highlight that Kyrgyzstan has been responding to a measles situation. As of 15 April 2024, according to the Republican Center of Immunoprophylaxis more than 8,000 cases of measles have been registered since the beginning of the year, leading to two fatalities. (<a href=""https://reliefweb.int/node/4060078/"">IFRC, 6 May 2024</a>)</p>
<p>Heavy rainfall has been affecting Kyrgyzstan since 5 May, causing landslides, mudslides, floods and flash floods that have resulted in casualties and damage. Eight displaced families and nearly 100 affected families were reported across the Bazar-Korgon district (Jalal-Abad region) due to mudslides. (<a href=""https://reliefweb.int/node/4060812/"">ECHO, 8 May 2024</a>)</p>
<p>On June 17, at about 18:30 local time, in the villages of Boston and Eski Kochkor-Ata in the Nooken district of the Jalal-Abad region, mudflows descended due to short-term rains. Additionally, 900 meters of the Osh-Bishkek Road were damaged by the mudflows and are currently closed. (<a href=""https://reliefweb.int/node/4071311/"">IFRC &amp; Kyrgyzstan Red Crescent, 18 Jun 2024</a>) As of 18 June, the Red Cross and Red Crescent (IFRC) reports one fatality due to a landslide, five affected people and 300 assisted people in the two villages. (<a href=""https://reliefweb.int/node/4071463/"">ECHO, 18 Jun 2024</a>)</p>
<p>On 23-24 June 2024, as a result of heavy rains in mountainous areas, mudflows occurred in the Batken, Talas and Jalal-Abad regions which affected more than 500 families. At the moment the Ministry of Emergency Situations has declared a state of emergency in 5 locations of Batken region. Additionally, in the village of Halmion, there is currently no access to drinking water. According to the MoeS, one person, aged 5, died as a result of the mudflows. (<a href=""https://reliefweb.int/node/4073579/"">IFRC &amp; Kyrgyzstan Red Crescent, 26 Jun 2024</a>)</p>
<p>On June 28, between 16:00 and 16:30, heavy rains in the mountainous area triggered floods in three villages of Nookat district in the Osh region. The floods caused significant damage to village infrastructure and affected 23 households. Tragically, 5 children lost their lives as a result of the mudflows. (<a href=""https://reliefweb.int/node/4073962/"">IFRC &amp; Kyrgyzstan Red Crescent, 29 Jun 2024</a>)</p>
<p>A state of emergency is declared in Batken district. July 10, at about 15:30 local time, heavy rains triggered mudflows in Ak-Tatyr village of Batken district. According to the Ministry of Emergency Situations, 32 houses were damaged to varying degrees, along with more than 60 household plots and agriculture field. On the evening of July 10, 138 people were evacuated from affected area to neighboring villages to their relatives. The village infrastructure was also significantly damaged (<a href=""https://reliefweb.int/node/4077284/"">IFRC &amp; Kyrgyzstan Red Crescent, 11 Jul 2024</a>)</p>
<p>Heavy rainfall has been affecting southern Kyrgyzstan since 14 July, causing floods, the Ak-Buura river overflow and landslides that have resulted in casualties and damage. As of 16 July, media reports four fatalities, 420 displaced people and 146 flooded houses in Osh city, Osh city region due to floods. In addition, 7,500 people are experiencing power outages. A state of emergency has been declared in Kyrgyzstan on 14 July. (<a href=""https://reliefweb.int/node/4078348/"">ECHO, 16 Jul 2024</a>)</p>
<p>The number of casualties has increased following floods, including the Ak-Buura river overflow, and landslides across Osh region in southern Kyrgyzstan. According to the International Federation of Red Cross and Red Crescent Societies (IFRC), five people died while another is still missing. In addition, 450 people have been displaced and almost 3,000 affected. National authorities are providing help for those affected by the event. (<a href=""https://reliefweb.int/node/4078744/"">ECHO, 17 Jul 2024</a>)</p>
<p>Heavy rainfall has been affecting eastern Kyrgyzstan (in particular Issyk-Kul, the easternmost region of the country) over the past few days, triggering mudslides and causing flash floods that have resulted in widespread damage. Media report, as 21 August, one destroyed house, nearly 500 damaged houses and several damaged roads across the villages of Kyzyl-Suu, Bulan Sogottu, Korumdu, Temir and Jeti-Oguz (Issyk-Kul region), mainly due to mudslides occurred on 18 August in the evening (UTC). (<a href=""https://reliefweb.int/node/4087878"">ECHO, 21 Aug 2024</a>)</p>
",high
5.79,47.33,Somalia: Floods - Apr 2024,"<p>The Gu (April to June) rains intensified with flash floods reported since 19 April. Four people, three boys in Somaliland and a six-year-old girl in Hirshabelle State were reportedly killed; about 100 shelters for displaced people destroyed and at least 134 families (804 people) affected or displaced across Somalia. (<a href=""https://reliefweb.int/node/4056724"">OCHA, 22 Apr 2024</a>)</p>
<p>Heavy rains  led to localized floodings which affected an estimated 124,155 people across Somalia as of 28 April, with more than 5,130 displaced and seven children killed, according to partners in the field. The children included three in Somaliland and four in Hirshabelle State. The worst affected were Jubaland, Hirshabelle and South West states. On 27 April, flash floods inundated roads connecting Dhobley and Afmadow districts and its environs in Jubaland State, temporarily making the roads impassable thereby affecting an estimated 60,000 people in the two districts. The local airstrips in Dhobley and Afmadow were flooded. Moderate rains were also reported in Middle Juba and Gedo region, notably in Doolow, Luuq, and Bualle. (<a href=""https://reliefweb.int/node/4058315"">OCHA, 28 Apr 2024</a>)</p>
<p>More than 163,000 people were affected by heavy rains and floods as of 5 May. At least 37, 120 had been displaced or relocated and seven children killed in 11 out of 22 hotspot districts. At least 67 of the 95 verified settlements for internally displaced people in Hirshabelle were impacted by the rains, affecting about 39,120 people (6, 520 households). Partners reached over 72,000 people with some form of assistance in 25 districts across the country. Those reached include 9,070 households that received unconditional cash assistance. (<a href=""https://reliefweb.int/node/4060151/"">OCHA, 6 May 2024</a>)</p>
<p>The Gu (April to June) heavy rains and flash floods spread to more areas of Somalia and affected at least 203,438 people, including around 37,120 displaced or relocated and nine people killed as of 8 May, according to authorities. Humanitarian partners working with the Federal Government had so far reached over 72,000 people in 25 districts with some form of assistance across the country. The floods destroyed and damaged infrastructure including some 3,080 shelters, 4,702 latrines, three schools and killed at least 100 livestock. Shallow wells were submerged and some destroyed, which in turn, posed a risk of cholera outbreak. Additionally, hectares of agricultural land were inundated by the floods, jeopardizing food security and might lead to an increase in price instability. According to humanitarian partners, at least 770,000 people could be affected by the time the Gu season ends.  (<a href=""https://reliefweb.int/node/4061419/"">OCHA, 10 May 2024</a>)</p>
<p>Humanitarian partners, working together with the Federal Government of Somalia, continued to support people affected by Gu (April to June) seasonal rains and flash floods, and reached at least 157,000 people with some form of assistance. As of 14 May, the number of people affected by the ongoing rains had risen to 225,759 people including 38,727 people displaced and 9 deaths, according to the authorities. At least 3,000 people had been relocated. Across Somalia, the heavy rains and flash floods have resulted in the loss of livelihoods, including livestock, cropland, damaged small businesses and destroyed infrastructure including shelter (3,367 destroyed and 870 affected), water sources (29 water points), latrines (5,002), schools (7), and damaged roads. (<a href=""https://reliefweb.int/node/4063422/"">OCHA, 19 May 2024</a>)</p>
<p>Humanitarian agencies, the Federal Government of Somalia, Federal Member States and partners continued to provide lifesaving assistance and reached at least 201,000 people in 36 districts with unconditional cash transfers, food and non- food items, cholera prevention and awareness messages, health, protection and water, sanitation and hygiene (WASH) assistance. The rains affected some 268,359 people and killed 10. The number of people displaced significantly rose to 81,000 from 38,700 reported on 19 May after the Shabelle River broke its banks in Belet Weyne district, displacing 42,600 people in Koshin, Haawo taako, Buundoweye, and Howlwadaag areas. At least 9,000 of those displaced in Belet Weyne reportedly returned to their homes and another 30,000 people were expected to return in the next two weeks. Schools in Belet Weyne town re-opened. In Dhobley and Afmadow, Jubaland State, some 24,000 people who were displaced went  back to their homes due to prevailing dry conditions.  Meanwhile, the spill over of Tropical Storm Laly reportedly led to the drowning of eight children in Marka town, Lower Shabelle on 23 May, according to the local community. Cases of acute watery diarrhoea (AWD)/cholera have risen across the country. In addition, the rains have impacted heavily on the water, sanitation and hygiene sector, destroying 644 latrines and extensively damaging 124 water points, thereby increasing vulnerability to waterborne diseases.  (<a href=""https://reliefweb.int/node/4067128/"">OCHA, 30 May 2024</a>)</p>
<h3>Appeals &amp; Response Plans</h3>
<ul>
<li>
<a href=""https://reliefweb.int/node/4058273""><img src=""https://reliefweb.int/sites/default/files/styles/small/public/previews/cc/74/cc7496ff-72a3-4d96-be1f-cd047af12bfd.png"" alt=""GBV AoR: GBV AoR Gu Season’s Preparedness &amp; Response Plan 2024 - Cover preview"" /> GBV AoR: GBV AoR Gu Season’s Preparedness &amp; Response Plan 2024</a>
</li>
</ul>
",medium
44.17,17.79,Bosnia and Herzegovina: Measles Outbreak - Apr 2024,"<p>The outbreak of measles in Bosnia and Herzegovina (BiH) began at the beginning of 2024. Initially, in January and February 2024, the highest number of cases were recorded in Bijeljina, Banja Luka, and the Tuzla Canton, specifically in the cities of Tuzla and Živinice. Subsequently, the number increased in the Sarajevo Canton, especially in mid March, where it is still on the rise. According to official data from the Institute of Public Health of the Federation of BiH, in the last three months, from January to April 2024, a total of 1,749 cases of measles have been reported.</p>
<p>Following the epidemiological situation in BiH through daily, weekly, and monthly reports from the Institute of Public Health, it was noted that in the last week of March 2024, the number of confirmed measles cases suddenly increased fourfold, especially in Sarajevo. According to the national health authorities, less than 60 per cent of the population in BiH is vaccinated against measles and rubella. (<a href=""https://reliefweb.int/node/4056749"">IFRC, 22 Apr 2024</a>)</p>
",high
0.53,37.86,Kenya: Floods - Apr 2024,"<p>The last week of March marked the start of the long rains season (March to May) characterized by isolated heavy storms that caused heavy rainfall and flash floods in several parts of the country. At least 13 people  died, nearly 3,000 households displaced, over 339 livestock killed, and unknown acres of croplands lost due to flooding in the country, according to initial reports. Areas of particular concern include Marsabit, Turkana, Tana River, Garissa, Kirinyaga, Muranga, Kiambu, Meru, Kisumu, Nairobi and Kitui counties. Humanitarian partners moved emergency shelter and non-food items to regions at risk of flooding while working with authorities to assess the needs alongside scaling up response to affected communities. Authorities issued advisories on the continuation of heavy rainfall in most parts of the country from 9 – 15 April. (<a href=""https://reliefweb.int/node/4053834"">OCHA, 11 Apr 2024</a>)</p>
<p>The number of people impacted by the March-May long rains continued to rise, with an estimated 103,485 people (20, 697 households) affected including 40,265 people (8,053 households) displaced; 32 deaths, and 15 injured across the country as of 18 April, according to the Kenya Red Cross Society. The heavy rains causing floods have also resulted in loss of livelihoods, including livestock, cropland, and destruction of small businesses. Damage to schools, water sources, and major roads was also reported. (<a href=""https://reliefweb.int/node/4056081"">OCHA, 19 Apr 2024</a>)</p>
<p>Heavy rains and flash floods left more than 103 people dead, 29 injured, 21 people missing, 150,365 people (30,073 families) displaced and nearly 191,000 affected across the country as of 28 April, according to the National Disaster Operations Centre (NDOC). A dam burst in the morning of 29 April in the southern town of Mai Mahiu in Nakuru County, reportedly killing dozens of people and affecting scores of others as Kenya experiences El Nino-induced above-average rains. Search and rescue operations by the authorities are ongoing. As of 24 April, over 4,824 livestock were lost, 27,717 acres of croplands damaged, 264 small businesses and 24 schools affected. (<a href=""https://reliefweb.int/node/4058571"">OCHA, 29 Apr 2024</a>)</p>
<p>Heavy rainfall continued to affect most of Kenya since the beginning of March (the long rainy season lasts from March to May), causing rivers overflow (particularly the Tana and the Mara rivers), floods, flash floods and triggering landslides that esulted in additional casualties and severe damage. The Kenya Red Cross reported, as of 1 May, 166 fatalities, 132 missing people, 23,511 displaced households (approximately 117,555 individuals) and 43,888 affected households (approximately 219,440 individuals). (<a href=""https://reliefweb.int/node/4059283"">ECHO, 2 May 2024</a>)</p>
<p>Heavy rainfall affected 38 of the 47 counties in Kenya (i.e 80% of the country), causing floods, triggering landslides and resulting in an increasing number of casualties and damage. Tropical Cyclone HIDAYA was expected to bring further heavy rainfall to the coastal areas of Kenya. According to the UN Office for the Coordination of Humanitarian Affairs (OCHA), as of 3 May, at least 210 people died, 164 were injured and 72 missing. In addition, more than 205,000 people were affected and 194,305 displaced. At least 52 people died because of the mudslide that occurred in Mai Mahiu on 29 April. Search and rescue operations were conducted in Nakuru, Nairobi, Kirinyaga, Homa Bay and Tana River. According to the Ministry of Health, the heavy rainfall and consequent floods also led to a fourth cholera outbreak. (<a href=""https://reliefweb.int/node/4060056"">ECHO, 6 May 2024</a>)</p>
<p>An estimated 267 people had been killed, 188 injured, 75 missing, while 281,835 people (56,367 families) were displaced and almost 380,573 (76,114 families) affected by persistent heavy rains and flooding as of 9 May, according to the National Disaster Operations Centre (NDOC). At least 9,973 livestock had been lost, 41,562 acres of cropland and 61 roads damaged, 886 businesses, 1,967 schools, 1,465 water sources and 62 health facilities damaged in 11 out of 42 counties affected by floods as of 9 May, according to authorities and the Kenya Red Cross Society.  (<a href=""https://reliefweb.int/node/4061512/"">OCHA, 10 May 2024</a>)</p>
<p>An estimated 291 people had been killed, 188 injured, and 75 missing, while 278,380 people (55,676 families) had  been displaced and almost 412,763 (82,552 families) affected by heavy rains and floods between 1 March and 16 May 2024, according to the National Disaster Operations Centre (NDOC). At least 11,311 livestock had been lost, 47,578 acres of croplands and 67 roads damaged, 1,023 small businesses and 129 schools had also been affected as of 15 May, according to the Kenya Red Cross Society (KRCS). A total of 178 displacement sites were active, accommodating 71,704 people, according to the KRCS as of 17 May. The search and rescue operations were ongoing, including in Narok, West Pokot, Nyeri, Siaya and Kirinyaga counties. (<a href=""https://reliefweb.int/node/4063491/"">OCHA, 17 May 2024</a>)</p>
<p>An estimated 315 people have been killed, 188 injured, and 38 missing, while more than 293,200 people (58,641 families) have been displaced and nearly 306,520 (61,304 families) have been affected by heavy rains and floods between 1 March and 18 June 2024, according to the NDOC. The March-April-May (MAM) 2024 rainfall has ceased over most parts of the country. (<a href=""https://reliefweb.int/node/4071388/"">OCHA, 19 Jun 2024</a>)</p>
<h3>Appeals &amp; Response Plans</h3>
<ul>
<li>
<a href=""https://reliefweb.int/node/4063266""><img src=""https://reliefweb.int/sites/default/files/styles/small/public/previews/c9/4c/c94cf8fb-f6ab-4acd-bb45-372fd127a1af.png"" alt=""IFRC: Kenya, Africa | El Niño Floods 2023-24 Emergency Appeal MDRKE058 (Revision # 1) - Cover preview"" /> IFRC: Kenya, Africa | El Niño Floods 2023-24 Emergency Appeal MDRKE058 (Revision # 1)</a>
</li>
</ul>
",low
48.16,67.3,Kazakhstan: Floods - Mar 2024,"<p>More than 13,000 people have been evacuated and more than 1,500 private houses have been flooded. There are 6,461 people in temporary accommodation centres, including 2,570 children. 53 settlements remain without transport communication. The floods are not yet past their peak and are expected to intensify and occur in several more regions. […] (<a href=""https://reliefweb.int/node/4051069/"">IFRC, 1 Apr 2024</a>)</p>
<p>Severe flooding, mainly due to rapid snow melting caused by warm temperature, continues to affect south-western Russia and the neighbouring north-western Kazakhstan since early April, resulting in casualties and widespread damage. The flooding also worsened after a dam broke on 5 April in the area of Orsk City (south-eastern Orenburg region) and by river embankement failures, particularly of the Volga, Ural, Tobol and Ishim rivers. [...] In Kazakhstan, national authorities and IFRC report two fatalities, approximately 86,000 affected people and around 3,400 flooded houses across several regions. The most affected area is the Atyrau region. (<a href=""https://reliefweb.int/node/4053505/"">ECHO, 10 Apr 2024</a>)</p>
<p>State authorities declared local state of emergency in 30 locations of 10 regions. More than 86,000 people have been evacuated and more than 3,700 private houses remain flooded. Over 8,400 people, including 4,000 children, have been placed in temporary accommodation centres, such as schools and social adaptation centres. Fifty-nine settlements remain without transport and communication. The floods have killed 5,711 heads of livestock, 1,013 of which have already been buried. More than 60,000 heads have been relocated so far. 17,000 people, 1,895 vehicles, 772 water-pumping means, and 68 swimming means, eight aircrafts of the Ministry of Emergency Situations (MoES), Ministry of Internal Affairs (MoIA), Ministry of Defence (MoD), local executive bodies, and organisations are involved in rescue operations. The state has also mobilised the army, police, and the national guard to support in evacuations, water pumping, and establishing water protection constructions. (<a href=""https://reliefweb.int/node/4053837"">IFRC, 11 Apr 2024</a>)</p>
<p>Severe floods and flash floods continue to affect south-western Russia and the neighbouring north-western Kazakhstan since 3 April, resulting in more evacuated people and severe damage. In Kazakhstan, the Ministry of Emergency Situations reports, as of 15 April, nearly 111,200 evacuated people (of which over 6,800 in a number of evacuation centres), approximately 5,500 flooded houses, around 180 flooded roads and nine collapsed bridges across Akmola, Aktobe, Kostanay, Atyrau and North Kazakhstan Regions. (<a href=""https://reliefweb.int/node/4054507/"">ECHO, 15 Apr 2024</a>)</p>
<p>As at 17 April, the flooding continued, with water still not receding in the flood-affected regions. Work to protect riverbanks and discharge water also continued (Caravan 22/04/2024). The flooding is a result of rapid snow melting and river flooding (Radio Azattyk 01/04/2024). As at 19 April, floods had evacuated or displaced approximately 118,200 people, almost 44,300 of whom were children, and inundated around 6,000 homes. By 22 April, around 24,500 people had returned to their homes, while 8,850 remained in shelters. As at 18 April, the flooding had killed seven people (Caravan 22/04/2024). (<a href=""https://reliefweb.int/node/4057762/"">ACAPS, 23 Apr 2024</a>)</p>
<p>Since March 2024 Northern and Western Kazakhstan has been awfully affected by the floods. Dams were breached and reservoirs overflowed, causing widespread devastation and displacing over 119,000 people, including 44,000 children. [...] while 61,000 people have returned to their homes, 53,000 are staying mostly with relatives and 5,000 people are still in temporary accommodation. [...] The situation in Atyrau reached its peak on May 24, when a dam broke down, requiring the erection of another protective structure and the deployment of supplementary equipment. [...] Nineteen families, comprising approximately 130 individuals, are temporarily housed in a school, lacking resources for renting accommodations or relying on relatives. (<a href=""https://reliefweb.int/node/4069830"">Caritas, 12 Jun 2024</a>)</p>
<p>More than 118,000 people have been evacuated, while more than 12,000 residential buildings and over 7,000 summer houses have been flooded. As of 25 June 2024, more than 67,000 people have returned home and 3,664 people stay in evacuation centres. While initial estimates confirmed that the floods have killed 5,711 heads of livestock, a total of 12,000 heads of cattle have died as a result of the floods (12,000 heads), which amounts to one per cent loss to the total livestock in the country, which is not expected to affect the meat market. According to the Ministry of Agriculture, based on the information collected from flood-affected regions, the sowing campaign and cereal harvest are not expected to be affected. (<a href=""https://reliefweb.int/node/4077596"">IFRC, 12 Jul 2024</a>)</p>
",high
21.95,-79.24,Cuba: Floods - Mar 2024,"<p>On 23 March Cuba experienced intense rains and local thunderstorms that have swept through the entire western and central regions of the country before advancing towards the Eastern Region later that afternoon. The provinces most severely impacted thus far are Artemisa, Mayabeque, Matanzas, and Havana. Havana, in particular, has witnessed significant incidents of severe flooding, caused by the overflowing of the Luyano River. The torrential downpours have inflicted damage across various sectors, including infrastructure, with partial and total roof collapses, disruptions to the power grid affecting over 270,000 individuals, agricultural losses, and livelihood setbacks. As of 25 March, the UN Country Team in Cuba has reported the evacuation of nearly 1,000 individuals in the capital, primarily due to multiple landslides. (<a href=""https://reliefweb.int/node/4052714"">IFRC, 6 Apr 2024</a>)</p>
",low
-32.8,-56.01,Uruguay: Floods - Mar 2024,"<p>Between March 16 and 22, Uruguay experienced a series of adverse weather events that generated serious situations in different regions of the country with consequences such as floods, falling trees, road closures, displacement of people who evacuated their homes. More than 100,000 individuals are estimated to have been impacted by the floods, with over 6,000 people displaced from their homes across various departments nationwide, primarily in Florida, San José, and Canelones. Evacuations have occurred in shelters and with friends and family, leading to an undercount due to unregistered self-evacuations. (<a href=""https://reliefweb.int/node/4052038/"">IFRC, 4 Apr 2024</a>)</p>
",low
33.05,43.4,Iraq: Floods - Mar 2024,"<p>Flash floods caused by heavy rainfall swept through Iraq’s Dohuk governorate on Tuesday 19 March. As per the Civil Defense Directorate spokesperson, heavy rains caused water inundation across the city, leading to transportation disruptions, and raising concerns about potential floodings, as forecasted by the regional meteorology department. In addition, the mudslides rush down to the roads and Duhok city suffers severe floods. This is caused by the receiving of 80 mm rainwater on Thursday in many districts across the KRI, and more rains are forecasted in the country. Current torrential rains and flooding also caused damage to pavements and road infrastructure. According to the authorities, 16 villages are affected by the floods and have been cut off from the main city due to the blockage of roads. Government authorities are responding and evacuating residents in areas prone to landslides and flash floodings. Heavy floods have also been reported in Erbil city.</p>
<p>The provinces of Diyala, Wassit and Maysan, due to their proximity to neighbouring Iran, also witnessed flooding in the past. The current rain spell resulted in small scale losses due to the flow of floods in the outskirts of Diyala governorate, Baldrouz and Al-Muqdadiyah provinces, where two families are affected. In Maysan, the torrential rains continue and floods flow in the outskirts of the province in rural areas. [...] Based on the initial assessment as reported by the Iraqi Red Crescent Society, an estimated number of 921 households were affected in Dohuk and Erbil governorates. (<a href=""https://reliefweb.int/node/4051968/"">IFRC, 03 Apr 2024</a>)</p>
<p>Heavy rainfall affected eastern Iraq, in particular the Diyala and the Maysan governorates, on 1-2 May, causing floods and flash floods that have resulted in casualties and damage. As of 5 May, according to Iraqi Red Crescent (IFRC), at least 600 people have been affected by floods, of whom 516 people in Kishkool and Al-Salam regions in Diyala governorate, and 84 people in Maysan governorate. Over the next 48 hours, more rainfall is forecasted over the north-eastern part of Iraq. (<a href=""https://reliefweb.int/node/4060061"">ECHO, 6 May 2024</a>)</p>
",low
17.35,-1.25,Mali: Dengue Outbreak - Sep 2023,"<p>In Mali, since the beginning of 2024, as of 25 February 1,349 suspected cases of dengue reported, including 229 confirmed cases and no deaths. A total of 20 health districts out of 75 are affected across six (6) health regions. The District of Bamako remains the epicenter of the epidemic. Two serotypes have been isolated from 135 positive samples: VDEN-1 (9 cases), VDEN-3 (123 cases), and co-infection VDEN 1+3 (3). (<a href=""https://reliefweb.int/node/4045911"">WHO, 13 Mar 2024</a>)</p>
<p>The resurgence of the Dengue epidemic in Mali since 9 September 2023, marks one of the most severe outbreaks in decades. With cases spreading rapidly, the Ministry of Health and Social Development took proactive measures by hosting a press conference on 29 November 2023, to educate the public about the disease's progression and severity. Subsequently, on 13 December 2023, the Public Health Emergency Operations Department was activated, initiating the implementation of an Incident Management System (IMS) specifically tailored for Dengue and Zika. [...] Despite concerted efforts, the epidemiological situation remains challenging. As of the latest update from the Situation Report (SitRep) dated 18 March 2024, there have been 144 suspected cases of Dengue reported this week, with 35 confirmed cases and no fatalities. Since the beginning of 2024, a total of 2,053 suspected cases of Dengue have been reported, including 355 positive cases. Cumulatively, from week 34 of 2023 to week 11 of 2024, there have been 7,422 suspected cases, with 1,163 confirmed cases and 35 deaths, resulting in a fatality rate of 3.01%. This outbreak has affected 21 health districts across six regions. (<a href=""https://reliefweb.int/node/4051598"">IFRC, 2 Apr 2024</a>)</p>
<p>From 1 January to 26 May 2024, Mali reported 4 605 suspected cases of dengue including 614 confirmed cases and four deaths. (<a href=""https://reliefweb.int/node/4074145"">WHO, 16 Jun 2024</a>)</p>
",high
